Brand,data,
ACURA,"అకురా అనేది జపనీస్ వాహన తయారీదారు హోండా లగ్జరీ వాహన విభాగం. ఈ బ్రాండ్ యునైటెడ్ స్టేట్స్, కెనడాలో 27 మార్చి 1986 న ప్రారంభించబడింది, మార్కెటింగ్ లగ్జరీ, పనితీరు, అధిక పనితీరు గల ఆటోమొబైల్స్. ఇది 1991 లో హాంకాంగ్ (2009 వరకు), 2004 లో మెక్సికో, 2006 లో చైనా, 2014 లో రష్యా (రష్యాలో అందుబాటులో లేదు), 2015 లో కువైట్లకు పరిచయం చేయబడింది, ఉక్రెయిన్‌లో కూడా విక్రయించబడింది (2018 వరకు). 2008 లో అకురాను జపనీస్ దేశీయ మార్కెట్ (జెడిఎం) కు పరిచయం చేయాలన్న హోండాప్రణాళిక ఆర్థిక కారణాల వల్ల ఆలస్యం అయింది, తరువాత 2007-2008 ఆర్థిక సంక్షోభం ఫలితంగా నిలిపివేయబడింది.\nఅకురా మొదటి జపనీస్ ఆటోమోటివ్ లగ్జరీ బ్రాండ్. అకురా సృష్టి ఒక జెడిఎం హోండా డీలర్‌షిప్ సేల్స్ ఛానెల్‌ని పరిచయం చేసింది, దీనిని హోండా క్లియో అని పిలుస్తారు, ఇది లగ్జరీ వాహనాలను విక్రయించింది, గతంలో స్థాపించిన హోండా వెర్నోలో చేరింది, తరువాత సంవత్సరం హోండా ప్రిమోలో చేరింది. ఉనికిలో ఉన్న మొదటి కొన్ని సంవత్సరాలలో, అకురా యుఎస్‌లో అత్యధికంగా అమ్ముడైన లగ్జరీ మార్కులలో ఒకటి. 1990 ల మధ్య నుండి చివరి వరకు అమ్మకాలు తగ్గినప్పటికీ, తీవ్రమైన రీడిజైన్‌లు, కొత్త మోడళ్ల పరిచయం కారణంగా బ్రాండ్ 2000 ల ప్రారంభంలో పునరుద్ధరణను ఎదుర్కొంది.\n1980 ల చివరలో, సంస్థ మొట్టమొదటి ప్రధాన వాహనం, లెజెండ్ విజయం తోటి జపనీస్ వాహన తయారీదారులు టయోటా, నిస్సాన్ వరుసగా తమ సొంత లగ్జరీ బ్రాండ్లైన లెక్సస్, ఇన్ఫినిటీలను ప్రారంభించటానికి ప్రేరేపించింది. మిడ్-ఇంజిన్ అన్యదేశ స్పోర్ట్స్ కారు అయిన ఎన్ఎస్ఎక్స్ 1990 లో అన్యదేశ యూరోపియన్ స్పోర్ట్స్ కార్లకు నమ్మకమైన, ఆచరణాత్మక ప్రత్యామ్నాయాన్ని అందించింది, హోండా విటిఇసి వేరియబుల్ వాల్వ్ టైమింగ్ సిస్టమ్‌ను ఉత్తర అమెరికా మార్కెట్‌కు ప్రవేశపెట్టింది. 1993 లెజెండ్ కూపేలో అకురా మొదటిసారి 6-స్పీడ్ మాన్యువల్ ట్రాన్స్మిషన్‌ను ఉపయోగించారు, ఇది టైప్ II ఇంజిన్‌తో జతచేయబడింది.",
ALFA ROMEO,"ఆల్ఫా రోమియో ఆటోమొబైల్స్ ఎస్.పి.ఎ. ఇటాలియన్ ప్రీమియం కార్ల తయారీ సంస్థ. స్టెల్లాంటిస్ వారి అనుబంధ సంస్థ. ఈ కంపెనీని 1910 జూన్ 24న ఇటలీలోని మిలన్ లో స్థాపించారు. 'ఆల్ఫా' అనేది దాని వ్యవస్థాపక, ప్రాథమిక పేరు, 'అనోనిమా లాంబార్డా ఫాబ్రికా ఆటోమొబిలి' వారి సంక్షిప్త నామం. 'అనోనిమా' అనే పేరు కంపెనీ పేరు . అనోనిమా అంటే గుర్తు తెలియని వారు అని అర్థం, ఎందుకంటే దీని స్థాపించిన వారు గుర్తు తెలియని పెట్టుబడి దారులు. ఈ బ్రాండ్ క్రీడ-ఆధారిత వాహనాలకు ప్రసిద్ధి చెందింది, 1911 సంవత్సరమునుంచి కారు రేసింగ్ పోటీలలో ఉన్నది . ఆల్ఫా రోమియో ఫియట్ క్రిస్లర్ ఆటోమొబైల్స్ యాజమాన్యంలో ఉంది, కంపెనీ కార్యకలాపాలు పూర్తిగా పిఎస్ఎ గ్రూప్ తో విలీనం అయ్యే వరకు ఆల్ఫా రోమియో కార్ల నిర్మాణ బాధ్యత వహించినది . 16 జనవరి 2021న పిఎస్ఎ గ్రూప్ స్టెల్లాంటిస్ ను ఏర్పాటు చేసింది. సంస్థ నిర్మించిన మొదటి కారు గిసెప్పి మెరోసి రూపొందించిన 1910 24 హెచ్ పి.",
ASTON,"ఆస్టన్ మార్టిన్ లాగొండ లగ్జరీ స్పోర్ట్స్ కార్లు, గ్రాండ్ టూరర్స్ తయారుచేసే బ్రిటిష్ స్వతంత్ర తయారీదారు. ఈ సంస్థను 1913 లో లియోనెల్ మార్టిన్, రాబర్ట్ బామ్‌ఫోర్డ్ స్థాపించారు. డేవిడ్ బ్రౌన్ చేత 1947 నుండి నడిచిన ఇది 1950,1960 లలో ఖరీదైన గ్రాండ్ టూరింగ్ కార్లతో సంబంధం కలిగి ఉంది. 1964 చిత్రం గోల్డ్ ఫింగర్‌లో డిబి5 మోడల్‌ను కాల్పనిక పాత్ర జేమ్స్ బాండ్‌ ఉపయోగించారు. ఈ స్పోర్ట్స్ కార్లను బ్రిటిష్ సాంస్కృతిక చిహ్నంగా పరిగణిస్తారు. ఆస్టన్ మార్టిన్ 1982 నుండి ప్రిన్స్ ఆఫ్ వేల్స్ మోటారు కార్ల పరిరక్షకుడిగా రాయల్ వారెంట్‌ను కలిగి ఉన్నారు మరియు 53 దేశాలలో 160 కి పైగా కార్ డీలర్‌షిప్‌లను కలిగి ఉన్నారు, ఇది ప్రపంచ ఆటోమొబైల్ బ్రాండ్‌గా మారింది. లండన్ స్టాక్ ఎక్స్ఛేంజ్లో వర్తకం చేయబడింది, ఇది ఎఫ్ టి ఎస్ ఈ 250 ఇండెక్స్ భాగం. అంతర్జాతీయ వాణిజ్యానికి విశేష కృషి చేసినందుకు 2003 లో ఎంటర్ప్రైజ్ కోసం క్వీన్స్ అవార్డును అందుకుంది.",
AUDI,"ఆడి ఎ జి జర్మన్ దేశ ఆటోమొబైల్ దేశ కార్ల తయారీ సంస్థ. విలాసవంతమైన కార్లకు ప్రసిద్ధి గాంచినది. జర్మనీలోని బవేరియాలోని ఇంగోల్. ఆడి వాహనాలు ప్రపంచవ్యాప్తంగా తొమ్మిది కేంద్రాల్లో ఉత్పత్తి చేయబడుతున్నాయి. ఆడి పేరు సంస్థ స్థాపకుడైన ఆగష్టు హోర్చ్ పై లాటిన్, జర్మన్ అర్థాలపై ఉంది . ఆడి కంపెనీ లోగో ( నాలుగు రింగులు ) నాలుగు కార్ల కంపెనీలలో ఒక దానిని ఆధారం చేసుకొని ఉన్నది. ఆడి కంపెనీ నినాదం వోర్స్ప్రంగ్ డర్చ్ టెక్నిక్, దీని అర్థం 'బీయింగ్ ఎహెడ్ త్రూ టెక్నాలజీ'. ఆడి కార్ల అమ్మకం ఇతర జర్మనీ కార్ల కంపెనీలైన మార్క్వెస్ బిఎమ్ డబ్ల్యు, మెర్సిడెస్ బెంజ్ లతో పాటు  ప్రపంచంలో అత్యధికంగా అమ్మకం జరుగుతున్న లగ్జరీ ఆటోమొబైల్ బ్రాండ్లలో ఒకటి గా ఉన్నది.",
BAJAJ,"బజాజ్ ఆటో లిమిటెడ్ భారతీయ బహుళ జాతి స్కూటర్ల, మోటారు సైకిళ్ళ,  ఆటో ల తయారీ సంస్థ. మహారాష్ట్రలోని పూనే  నగరం లో  వీటిని ఉత్పత్తి చేస్తారు . బజాజ్ ఆటో బజాజ్  గ్రూప్ ల  విభాగము.  1940 సంవత్సరం లో రాజస్థాన్ లో  జమన్ లాల్ బజాజ్  స్తాపించినాడు.  బజాజ్ కంపెనీ ఉత్పత్తి ప్లాంట్లు చకన్ (పూనే), వజూజ్ (ఔరంగాబాద్), పంత్ నగర్ (ఉత్తరాఖండ) దగ్గర ఉన్నాయి.   బజాజ్  రీసెర్చ్ ప్లాంట్ ""అకుర్ది"" (పూనే)  కంపెనీ పురాతనమైన ప్లాంట్ లో ఉన్నది .  బజాజ్ ఆటో తమ  ఉత్పత్తులలో   దేశ, విదేశాలలో  ప్రసిద్ధి గాంచి, మోటార్ సైకిళ్ళ తయారీలో భారత దేశం లో రెండవ  స్థానం లో, ఆటోల తయారీలో ప్రపంచము లో  3 వ స్థానం లో ఉన్నది. ",
BENTLEY,"బెంట్లి మోటార్స్ లిమిటెడ్ బ్రిటిష్ తయారీ సంస్థ, ఎస్ యు వి విలాసమంతమైన  కార్ల మార్కెటింగ్ తో ఉన్నది.1988 సంవత్సరము నుంచి వోల్క్స్ వాగెన్ లోని విభాగం. బెంట్లి మోటార్స్ లిమిటెడ్ కంపెనీ ప్రధాన కార్యాలయం క్రీవ్, ఇంగ్లాండ్  లో  ఉన్నది. డబ్ల్యూ. ఓ. బెంట్లీ 1919 సంవత్సరం లో బెంట్లీ మోటార్స్ లిమిటెడ్‌గా నార్త్ లండన్‌లోని  క్రికిల్ ఉడ్లో స్థాపించాడు.  ఈ కంపెనీ తయారుచేసే  వాటిలో  స్పోర్ట్స్- రేసింగ్ కారు బెంట్లీ 4½ లీటర్, బెంట్లీ స్పీడ్ సిక్స్, బెంట్లీ ఆర్ టైప్ కాంటినెంటల్, బెంట్లీ టర్బో ఆర్,  బెంట్లీ ఆర్నేజ్, ఫ్లైయింగ్ స్పర్, కాంటినెంటల్ జిటి, బెంటాయిగా, ముల్సాన్లతో అన్ని మోడల్స్ ప్రపంచ వ్యాప్తంగా అమ్ముతున్నారు. చైనా   దేశంలో  అమ్మకాలలో నవంబర్ 2012 సంవత్సరం వరకు అగ్రగామిగా ఉన్నది.",
BMW,"బెయేరిషె మోటార్ వెర్క్ ఎ జి ,  ( బి ఎమ్ డబ్ల్యూ )  జర్మనీ దేశ బహుళ జాతి సంస్థ. ఈ కంపెనీ   విలాస  వంతమైన  కార్లు , మోటార్ సైకిల్స్ ను తయారు చేస్తారు . బెయేరిషె మోటార్ వెర్క్ ఎ జి  కంపెనీ 1916 సంవత్సరములో ఎయిర్ క్రాఫ్ట్ ఇంజిన్స్  తయారీ తో ప్రారంభించి ,1917 సంవత్సరమునుండి 1918 వరకు , 1933 సంవత్సరము నుంచి 1945 సంవత్సరము వరకు ఎయిర్ క్రాఫ్ట్ ఇంజిన్స్  ఉత్పత్తి  లో ఉన్నారు.\nకంపెనీ నుంచి  తయారు చేసే  ఆటోమొబైల్స్ బిఎమ్ డబ్ల్యు  , మినీ , రోల్స్ -రైస్ , మోటార్ సైకిల్స్  బిఎమ్ డబ్ల్యు మోటార్  పేరుతొ అమ్ముతున్నారు. బిఎమ్ డబ్ల్యు 2017 సంవత్సరము వరకు మోటార్ వెహికల్స్  2, 279,503  తయారు చేసి ప్రపంచములో 14 వ స్థానం లో ఉన్నది.  బిఎమ్ డబ్ల్యు టూరింగ్ కార్లు , ఫార్ములా 1 , స్పోర్ట్స్ కార్లలో ,ఐల్  ఆఫ్ మ్యాన్ టిటి   వాహన తయారీలో  ప్రసిద్ధి గాంచినవి.  బిఎమ్ డబ్ల్యు ప్రధాన కార్యాలయం మ్యూనిచ్ లో ఉంది. బిఎమ్ డబ్ల్యు మోటార్ వెహికల్స్  తయారు చేసే  కర్మాగారాలు  జర్మనీ, బ్రెజిల్ , చైనా, ఇండియా , మెక్సికో,నెథర్లాండ్స్,సౌత్ ఆఫ్రికా , యునైటెడ్ కింగ్ డమ్, యునైటెడ్ స్టేట్స్  దేశాలలో  ఉన్నాయి",
BUGGATI,"ఎట్టోర్ బుగాటి  ఆటోమొబైల్స్   ఫ్రెంచ్    దేశ కార్ల  కంపెనీ. దీని వ్యవస్థాపకుడు ఎట్టోర్ బుగాటి( పారిశ్రామిక డిజైనర్ )   ఇటాలియాన్ సంతతికి చెందిన వాడు. ఎట్టోర్ బుగాటి  కంపెనీ  కార్ల తయారీలో  వాటి డిజైన్స్ , కార్ల రేస్ లలో పాల్గొనే    వాటిలో పేరుగాంచినవి .  ఈ  కంపెనీ నుంచి తయారు అయ్యే ప్రసిద్ధి గాంచిన తయారు అయ్యేకార్లలలో  టైపు 35 గ్రాండ్ ఫిక్స్ కార్లు , టైపు 41 రాయల్ కార్లు , టైపు 57 అట్లాంటిక్ , టైపు 55 స్పోర్ట్స్ కార్లు  మొదలైనవి ఉన్నాయి.\n1939 సంవత్సరములో  ఎట్టోర్ బుగాటి  కుమారుడు  జీన్ బుగాటి మరణం, ఎట్టోర్ బుగాటి 1947 సంవత్సరములో మరణం తో , వారసుడు లేక , కంపెనీ నాయకత్వ బాధ్యతలకు ఎవరు లేక పోవడం,  చివరకు  కంపెనీ  మూసివేసే దిశగా   వెళ్ళింది .   అప్పటి వరకు  ఈ కంపెనీ  ద్వారా 8000 కార్ల ఉత్పత్తి జరిగింది. 1987 సంవత్సరములో ఇటాలియన్ దేశస్థుడు  కంపెనీ ని కొనుగోలు చేసి, మోడానా నగరం  లో కొద్దిపాటి స్పోర్ట్స్ కార్లను ఉత్పత్తి చేశాడు . వోక్స్ వ్యాగన్ గ్రూప్ 1988 సంవత్సరములో కంపెనీ హక్కులను  తీసుకొని, ,అల్సేస్ లోని మోల్స్ హీమ్ కేంద్రంగా తిరిగి ఒక అనుబంధ సంస్థను ఏర్పాటు చేసింది.",
BUICK,"బ్యూక్ కంపెనీ అమెరికన్ ఆటోమొబైల్ తయారీ సంస్థ జనరల్ మోటార్స్ ( జి ఎమ్ ) విభాగం లోనిది.  1908 సంవత్సరం లో జనరల్ మోటార్స్ విభాగం లో డేవిడ్ డన్బార్ బ్యూక్ చే ప్రారంభించబడినది.  ఆటోమొబైల్స్ రంగములో  ప్రసిద్ధి గాంచిన  అమెరికన్ బ్రాండ్ వేసుకున్న కంపెనీ. బ్యూక్  దగ్గర  జనరల్ మేనేజర్ గా పనిచేసిన   విలియం సి. డ్యురాంట్  ప్రధాన పెట్టుబడి దారుడు.\nఉత్తర అమెరికా మార్కెట్ లో బ్యూక్ బ్రాండ్   విలాసనంతమైన  కార్ల తయారీలో  తన దైన  బ్రాండ్  వేసుకున్నది .  బ్యూక్ కార్లు ప్రపంచ వ్యాప్తం గా 2017 సంవత్సరము లో 1.4 మిలియన్ల వాహనాల అమ్మకాలు జరిగాయి. ఇది ఒక రికార్డు.  బ్యూక్ కార్లు ప్రధాన మార్కెట్ చైనా దేశం, చైనా దేశంలో 80 శాతము బ్యూక్-బ్రాండెడ్ ఆటోమొబైల్స్ అమ్మ బడుతున్నాయి . బ్యూక్-బ్రాండెడ్ ఆటోమొబైల్స్ యునైటెడ్ స్టేట్స్, కెనడా , మెక్సికో దేశాలలో వీటిని అమ్ముతున్నారు.",
